Ticker,url
DOCU,{"url":"docusign.com"}
DXCM,{"url":"dexcom.com"}
DLTR,{"url":"dollartree.com"}
EA,{"url":"ea.com"}
EBAY,{"url":"ebay.com"}
EXC,{"url":"exeloncorp.com"}
FAST,{"url":"fastenal.com"}
FB,{"url":"facebook.com"}
FISV,{"url":"fiserv.com"}
FTNT,{"url":"fortinet.com"}
GILD,{"url":"gilead.com"}
GOOG,{"url":"google.com"}
GOOGL,{"url":"google.com"}
HON,{"url":"honeywell.com"}
ILMN,{"url":"illumina.com"}
INTC,{"url":"intel.com"}
INTU,{"url":"intuit.com"}
ISRG,{"url":"intuitive.com"}
MRVL,{"url":"marvell.com"}
IDXX,{"url":"idexx.com"}
JD,{"url":"jd.com"}
KDP,{"url":"keurigdrpepper.com"}
KLAC,{"url":"kla.com"}
KHC,{"url":"kraftheinzcompany.com"}
LRCX,{"url":"lamresearch.com"}
LCID,{"url":"lucidmotors.com"}
LULU,{"url":"lululemon.com"}
MELI,{"url":"mercadolibre.com"}
MAR,{"url":"marriott.com"}
MTCH,{"url":"mtch.com"}
MCHP,{"url":"microchip.com"}
MDLZ,{"url":"mondelezinternational.com"}
MRNA,{"url":"modernatx.com"}
